product_id,product_name,product_type,min_age,max_age,min_coverage,max_coverage,premium_paying_term_min,premium_paying_term_max,key_benefit,benefit_2,benefit_3,risk_profile,base_premium_rate
LIC-TL-100,SecureShield Term Plan,Term Life,18,65,500000,50000000,1,40,High sum assured at extremely low cost,Accidental Death Rider option,Option to increase coverage on life milestones,Low,1.1
LIC-WL-101,LifeLong Prosperity Plan,Whole Life,18,60,250000,30000000,5,30,Guaranteed lifetime coverage up to age 100,Cash value accumulation with guaranteed additions,Survival payout options after age 80,Low,12.0
LIC-E-102,Wealth Builder Endowment,Endowment,12,55,100000,20000000,5,25,Guaranteed maturity lump sum + accumulated bonuses,Life cover during the policy term,Critical illness rider add-on,Medium,35.0
LIC-MB-103,Milestone MoneyBack,Money Back,15,50,150000,15000000,10,25,Regular survival payouts at predefined policy intervals,Maturity payout of remaining sum assured with bonus,Guaranteed additions in first 5 years,Medium,45.0
LIC-U-104,Wealth Maxima ULIP,ULIP,8,55,500000,50000000,5,20,Dual benefit of life protection and equity/debt market growth,Choice of 7+ investment funds ranging from debt to high equity,Partial withdrawal facility after 5 years lock-in,High,15.0
LIC-R&P-105,Golden Years Pension Plan,Retirement & Pension,30,70,500000,40000000,1,30,Guaranteed annuity payouts for lifetime after retirement,Option for joint life annuity (spouse gets pension),Critical illness cover during accumulation phase,Low,23.0
LIC-CP-106,Bright Future Child Plan,Child Plan,0,18,200000,25000000,5,20,Premium Waiver Benefit ensures child's future even in absence of parent,Milestone cash payouts for higher education expenses,Flexible payout options (lump sum or instalments),Low,25.0
LIC-TL-107,Cancer Shield Term,Term Life,18,60,300000,15000000,5,20,Lump sum payout on diagnosis of specified critical illnesses,Inbuilt term life protection cover,Second medical opinion from global specialists,Low,5.0
LIC-TL-108,Elite Term Life,Term Life,20,60,750000,40000000,3,35,High sum assured at extremely low cost,Critical Illness Rider option,Special discount for non-smokers,Low,1.44
LIC-WL-109,Legacy Whole Life Safeguard,Whole Life,20,55,375000,24000000,7,25,Guaranteed lifetime coverage up to age 100,Loan facility up to 90% of surrender value,Tax benefits under local laws,Low,13.6
LIC-E-110,Future Growth Endowment Plan,Endowment,18,50,150000,16000000,7,20,Guaranteed maturity lump sum + accumulated bonuses,Compounded reversionary bonuses,Tax-exempt payouts at maturity,Medium,38.0
LIC-MB-111,Cash Flow Life Plan,Money Back,18,45,225000,12000000,12,20,Regular survival payouts at predefined policy intervals,Continuous life cover for full sum assured despite survival payouts,Flexible premium options,Medium,48.0
LIC-U-112,Equity Growth ULIP Pro,ULIP,18,50,750000,40000000,7,15,Dual benefit of life protection and equity/debt market growth,Unlimited free fund switches per year,Return of mortality charges upon maturity,High,18.0
LIC-R&P-113,Retire Rich Annuity Plan,Retirement & Pension,32,65,750000,32000000,3,25,Guaranteed annuity payouts for lifetime after retirement,Lump sum commutation up to 60% of corpus tax-free,Top-up premium option to increase annuity,Low,23.0
LIC-CP-114,Child Education Shield Plan,Child Plan,0,13,300000,20000000,7,15,Premium Waiver Benefit ensures child's future even in absence of parent,Guaranteed maturity additions,Choice of equity or debt fund allocation,Low,28.0
LIC-TL-115,Heart Care Life Cover,Term Life,20,55,450000,12000000,7,15,Lump sum payout on diagnosis of specified critical illnesses,Waiver of future premiums on minor illness diagnosis,Special wellness points for premium discounts,Low,6.0
LIC-TL-116,Simple Term Cover,Term Life,23,70,500000,50000000,1,40,High sum assured at extremely low cost,Waiver of Premium on disability,Terminal Illness benefit built-in,Low,2.05
LIC-WL-117,Heritage Wealth & Life,Whole Life,23,65,250000,30000000,5,30,Guaranteed lifetime coverage up to age 100,Participating bonus options,Accidental death benefit rider,Low,15.2
LIC-E-118,Smart Savings Endowment Plan,Endowment,17,60,100000,20000000,5,25,Guaranteed maturity lump sum + accumulated bonuses,Loan facility against policy value,Terminal bonus upon completion,Medium,41.0
LIC-MB-119,Periodic Payout Guard,Money Back,20,55,150000,15000000,10,25,Regular survival payouts at predefined policy intervals,Accidental benefit rider,Loan availability on accumulated value,Medium,51.0
LIC-U-120,InvestShield ULIP Plan,ULIP,13,60,500000,50000000,5,20,Dual benefit of life protection and equity/debt market growth,Loyalty additions added programmatically,Accidental death benefit rider option,High,21.0
LIC-R&P-121,Silver Years Life Income,Retirement & Pension,35,75,500000,40000000,1,30,Guaranteed annuity payouts for lifetime after retirement,Return of purchase price to nominees upon demise,Deferred annuity interest rate lock-in,Low,29.9
LIC-CP-122,Young Scholar Milestone Plan,Child Plan,5,23,200000,25000000,5,20,Premium Waiver Benefit ensures child's future even in absence of parent,Accidental death cover on parent,Loan options for premium payments,Low,31.0
LIC-HLTH-123,Critical Health & Term Plus,Term Life,23,65,300000,15000000,5,20,Lump sum payout on diagnosis of specified critical illnesses,Daily hospital cash benefit,Surgical cash benefit options,Low,7.0
LIC-TL-124,Smart Guard Term Insurance,Term Life,18,65,750000,40000000,3,35,High sum assured at extremely low cost,Accidental Death Rider option,Option to increase coverage on life milestones,Low,2.12
LIC-WL-125,Centennial Life Cover,Whole Life,18,60,375000,24000000,7,25,Guaranteed lifetime coverage up to age 100,Cash value accumulation with guaranteed additions,Survival payout options after age 80,Low,16.8
LIC-E-126,Secure Dreams Endowment,Endowment,12,55,150000,16000000,7,20,Guaranteed maturity lump sum + accumulated bonuses,Life cover during the policy term,Critical illness rider add-on,Medium,44.0
LIC-MB-127,Smart Cash Return Shield,Money Back,15,50,225000,12000000,12,20,Regular survival payouts at predefined policy intervals,Maturity payout of remaining sum assured with bonus,Guaranteed additions in first 5 years,Medium,54.0
LIC-U-128,Market Master ULIP,ULIP,8,55,750000,40000000,7,15,Dual benefit of life protection and equity/debt market growth,Choice of 7+ investment funds ranging from debt to high equity,Partial withdrawal facility after 5 years lock-in,High,24.0
LIC-R&P-129,Neev Retirement Shield,Retirement & Pension,30,70,750000,32000000,3,25,Guaranteed annuity payouts for lifetime after retirement,Option for joint life annuity (spouse gets pension),Critical illness cover during accumulation phase,Low,33.35
LIC-CP-130,Junior Dream Protection,Child Plan,0,18,300000,20000000,7,15,Premium Waiver Benefit ensures child's future even in absence of parent,Milestone cash payouts for higher education expenses,Flexible payout options (lump sum or instalments),Low,34.0
LIC-TL-131,Complete Wellness Term Life,Term Life,18,60,450000,12000000,7,15,Lump sum payout on diagnosis of specified critical illnesses,Inbuilt term life protection cover,Second medical opinion from global specialists,Low,8.0
LIC-TL-132,InstaProtect Term,Term Life,20,60,500000,50000000,1,40,High sum assured at extremely low cost,Critical Illness Rider option,Special discount for non-smokers,Low,2.46
LIC-WL-133,Enduring Security Whole Life,Whole Life,20,55,250000,30000000,5,30,Guaranteed lifetime coverage up to age 100,Loan facility up to 90% of surrender value,Tax benefits under local laws,Low,18.4
LIC-E-134,Sanchay Savings Insurance,Endowment,18,50,100000,20000000,5,25,Guaranteed maturity lump sum + accumulated bonuses,Compounded reversionary bonuses,Tax-exempt payouts at maturity,Medium,47.0
LIC-MB-135,Dhan Varsha MoneyBack,Money Back,18,45,150000,15000000,10,25,Regular survival payouts at predefined policy intervals,Continuous life cover for full sum assured despite survival payouts,Flexible premium options,Medium,57.0
LIC-U-136,Smart Invest Life,ULIP,18,50,500000,50000000,5,20,Dual benefit of life protection and equity/debt market growth,Unlimited free fund switches per year,Return of mortality charges upon maturity,High,27.0
LIC-R&P-137,Saral Pension Annuity,Retirement & Pension,32,65,500000,40000000,1,30,Guaranteed annuity payouts for lifetime after retirement,Lump sum commutation up to 60% of corpus tax-free,Top-up premium option to increase annuity,Low,32.0
LIC-CP-138,Child Career Builder,Child Plan,0,13,200000,25000000,5,20,Premium Waiver Benefit ensures child's future even in absence of parent,Guaranteed maturity additions,Choice of equity or debt fund allocation,Low,37.0
LIC-HLTH-139,Senior Health Safeguard,Term Life,20,55,300000,15000000,5,20,Lump sum payout on diagnosis of specified critical illnesses,Waiver of future premiums on minor illness diagnosis,Special wellness points for premium discounts,Low,9.0
LIC-TL-140,Family Security Term,Term Life,23,70,750000,40000000,3,35,High sum assured at extremely low cost,Waiver of Premium on disability,Terminal Illness benefit built-in,Low,3.22
LIC-WL-141,Eternal Care Whole Life,Whole Life,23,65,375000,24000000,7,25,Guaranteed lifetime coverage up to age 100,Participating bonus options,Accidental death benefit rider,Low,20.0
LIC-E-142,Apex Guaranteed Endowment,Endowment,17,60,150000,16000000,7,20,Guaranteed maturity lump sum + accumulated bonuses,Loan facility against policy value,Terminal bonus upon completion,Medium,50.0
LIC-MB-143,Liquidity Life Plan,Money Back,20,55,225000,12000000,12,20,Regular survival payouts at predefined policy intervals,Accidental benefit rider,Loan availability on accumulated value,Medium,60.0
LIC-U-144,Apex Growth Fund Insurance,ULIP,13,60,750000,40000000,7,15,Dual benefit of life protection and equity/debt market growth,Loyalty additions added programmatically,Accidental death benefit rider option,High,30.0
LIC-R&P-145,Immediate Pension Regular,Retirement & Pension,35,75,750000,32000000,3,25,Guaranteed annuity payouts for lifetime after retirement,Return of purchase price to nominees upon demise,Deferred annuity interest rate lock-in,Low,40.25
LIC-CP-146,Bal Vidya Growth Plan,Child Plan,5,23,300000,20000000,7,15,Premium Waiver Benefit ensures child's future even in absence of parent,Accidental death cover on parent,Loan options for premium payments,Low,40.0
LIC-TL-147,Cancer Shield (Series A) Term,Term Life,23,65,450000,12000000,7,15,Lump sum payout on diagnosis of specified critical illnesses,Daily hospital cash benefit,Surgical cash benefit options,Low,10.0
LIC-TL-148,Term Premier Gold,Term Life,18,65,500000,50000000,1,40,High sum assured at extremely low cost,Accidental Death Rider option,Option to increase coverage on life milestones,Low,3.14
LIC-WL-149,Infinite Protection Plan,Whole Life,18,60,250000,30000000,5,30,Guaranteed lifetime coverage up to age 100,Cash value accumulation with guaranteed additions,Survival payout options after age 80,Low,21.6
LIC-E-150,Pragati Endowment Shield,Endowment,12,55,100000,20000000,5,25,Guaranteed maturity lump sum + accumulated bonuses,Life cover during the policy term,Critical illness rider add-on,Medium,53.0
LIC-MB-151,Super Cash Back Plan,Money Back,15,50,150000,15000000,10,25,Regular survival payouts at predefined policy intervals,Maturity payout of remaining sum assured with bonus,Guaranteed additions in first 5 years,Medium,63.0
LIC-U-152,Dynamic Asset Allocator ULIP,ULIP,8,55,500000,50000000,5,20,Dual benefit of life protection and equity/debt market growth,Choice of 7+ investment funds ranging from debt to high equity,Partial withdrawal facility after 5 years lock-in,High,33.0
LIC-R&P-153,Deferred Pension Prosperity,Retirement & Pension,30,70,500000,40000000,1,30,Guaranteed annuity payouts for lifetime after retirement,Option for joint life annuity (spouse gets pension),Critical illness cover during accumulation phase,Low,43.7
LIC-CP-154,Smart Kids Endowment,Child Plan,0,18,200000,25000000,5,20,Premium Waiver Benefit ensures child's future even in absence of parent,Milestone cash payouts for higher education expenses,Flexible payout options (lump sum or instalments),Low,43.0
LIC-TL-155,Heart Care Life Cover (Series B),Term Life,18,60,300000,15000000,5,20,Lump sum payout on diagnosis of specified critical illnesses,Inbuilt term life protection cover,Second medical opinion from global specialists,Low,11.0
LIC-TL-156,Active Life Term Plan,Term Life,20,60,750000,40000000,3,35,High sum assured at extremely low cost,Critical Illness Rider option,Special discount for non-smokers,Low,3.48
LIC-WL-157,Classic Whole Life Guarantee,Whole Life,20,55,375000,24000000,7,25,Guaranteed lifetime coverage up to age 100,Loan facility up to 90% of surrender value,Tax benefits under local laws,Low,23.2
LIC-E-158,Samriddhi Wealth Accumulator,Endowment,18,50,150000,16000000,7,20,Guaranteed maturity lump sum + accumulated bonuses,Compounded reversionary bonuses,Tax-exempt payouts at maturity,Medium,56.0
LIC-MB-159,Active Cash MoneyBack,Money Back,18,45,225000,12000000,12,20,Regular survival payouts at predefined policy intervals,Continuous life cover for full sum assured despite survival payouts,Flexible premium options,Medium,66.0
LIC-U-160,Bluechip Multiplier ULIP,ULIP,18,50,750000,40000000,7,15,Dual benefit of life protection and equity/debt market growth,Unlimited free fund switches per year,Return of mortality charges upon maturity,High,36.0
LIC-R&P-161,Superannuation Life Pension,Retirement & Pension,32,65,750000,32000000,3,25,Guaranteed annuity payouts for lifetime after retirement,Lump sum commutation up to 60% of corpus tax-free,Top-up premium option to increase annuity,Low,41.0
LIC-CP-162,EduSecure Wealth Plan,Child Plan,0,13,300000,20000000,7,15,Premium Waiver Benefit ensures child's future even in absence of parent,Guaranteed maturity additions,Choice of equity or debt fund allocation,Low,46.0
LIC-HLTH-163,Critical Health & Term Plus - Series C,Term Life,20,55,450000,12000000,7,15,Lump sum payout on diagnosis of specified critical illnesses,Waiver of future premiums on minor illness diagnosis,Special wellness points for premium discounts,Low,12.0
LIC-TL-164,SafeGuard Pure Term,Term Life,23,70,500000,50000000,1,40,High sum assured at extremely low cost,Waiver of Premium on disability,Terminal Illness benefit built-in,Low,4.39
LIC-WL-165,Generation Wealth Legacy,Whole Life,23,65,250000,30000000,5,30,Guaranteed lifetime coverage up to age 100,Participating bonus options,Accidental death benefit rider,Low,24.8
LIC-E-166,Golden Milestone Endowment,Endowment,17,60,100000,20000000,5,25,Guaranteed maturity lump sum + accumulated bonuses,Loan facility against policy value,Terminal bonus upon completion,Medium,59.0
LIC-MB-167,Milestone Rewards Life,Money Back,20,55,150000,15000000,10,25,Regular survival payouts at predefined policy intervals,Accidental benefit rider,Loan availability on accumulated value,Medium,69.0
LIC-U-168,Future Star ULIP,ULIP,13,60,500000,50000000,5,20,Dual benefit of life protection and equity/debt market growth,Loyalty additions added programmatically,Accidental death benefit rider option,High,39.0
LIC-R&P-169,Secure Income Pension Plus,Retirement & Pension,35,75,500000,40000000,1,30,Guaranteed annuity payouts for lifetime after retirement,Return of purchase price to nominees upon demise,Deferred annuity interest rate lock-in,Low,50.6
LIC-CP-170,Future Leader Child Shield,Child Plan,5,23,200000,25000000,5,20,Premium Waiver Benefit ensures child's future even in absence of parent,Accidental death cover on parent,Loan options for premium payments,Low,49.0
LIC-TL-171,Complete Wellness Term Life - Series D,Term Life,23,65,300000,15000000,5,20,Lump sum payout on diagnosis of specified critical illnesses,Daily hospital cash benefit,Surgical cash benefit options,Low,13.0
LIC-TL-172,Level Premium Term Shield,Term Life,18,65,750000,40000000,3,35,High sum assured at extremely low cost,Accidental Death Rider option,Option to increase coverage on life milestones,Low,4.16
LIC-WL-173,Perpetual Shield Plan,Whole Life,18,60,375000,24000000,7,25,Guaranteed lifetime coverage up to age 100,Cash value accumulation with guaranteed additions,Survival payout options after age 80,Low,26.4
LIC-E-174,Double Money Endowment Plan,Endowment,12,55,150000,16000000,7,20,Guaranteed maturity lump sum + accumulated bonuses,Life cover during the policy term,Critical illness rider add-on,Medium,62.0
LIC-MB-175,Interval Payout Saver,Money Back,15,50,225000,12000000,12,20,Regular survival payouts at predefined policy intervals,Maturity payout of remaining sum assured with bonus,Guaranteed additions in first 5 years,Medium,72.0
LIC-U-176,Capital Growth Guard ULIP,ULIP,8,55,750000,40000000,7,15,Dual benefit of life protection and equity/debt market growth,Choice of 7+ investment funds ranging from debt to high equity,Partial withdrawal facility after 5 years lock-in,High,42.0
LIC-R&P-177,Freedom Retirement Plan,Retirement & Pension,30,70,750000,32000000,3,25,Guaranteed annuity payouts for lifetime after retirement,Option for joint life annuity (spouse gets pension),Critical illness cover during accumulation phase,Low,54.05
LIC-CP-178,Vidyarthi Savings & Protection,Child Plan,0,18,300000,20000000,7,15,Premium Waiver Benefit ensures child's future even in absence of parent,Milestone cash payouts for higher education expenses,Flexible payout options (lump sum or instalments),Low,52.0
LIC-HLTH-179,Senior Health Safeguard - Series E,Term Life,18,60,450000,12000000,7,15,Lump sum payout on diagnosis of specified critical illnesses,Inbuilt term life protection cover,Second medical opinion from global specialists,Low,14.0
LIC-TL-180,Decreasing Term Mortgage Cover,Term Life,20,60,500000,50000000,1,40,High sum assured at extremely low cost,Critical Illness Rider option,Special discount for non-smokers,Low,1.1
LIC-WL-181,LifeLong Prosperity Plan (Series A),Whole Life,20,55,250000,30000000,5,30,Guaranteed lifetime coverage up to age 100,Loan facility up to 90% of surrender value,Tax benefits under local laws,Low,12.0
LIC-E-182,Guaranteed Savings Life Plan,Endowment,18,50,100000,20000000,5,25,Guaranteed maturity lump sum + accumulated bonuses,Compounded reversionary bonuses,Tax-exempt payouts at maturity,Medium,35.0
LIC-MB-183,Milestone MoneyBack - Series A,Money Back,18,45,150000,15000000,10,25,Regular survival payouts at predefined policy intervals,Continuous life cover for full sum assured despite survival payouts,Flexible premium options,Medium,45.0
LIC-U-184,Nifty Index Linked Plan,ULIP,18,50,500000,50000000,5,20,Dual benefit of life protection and equity/debt market growth,Unlimited free fund switches per year,Return of mortality charges upon maturity,High,15.0
LIC-R&P-185,Golden Years Pension Plan (Series A),Retirement & Pension,32,65,500000,40000000,1,30,Guaranteed annuity payouts for lifetime after retirement,Lump sum commutation up to 60% of corpus tax-free,Top-up premium option to increase annuity,Low,20.0
LIC-CP-186,Bright Future Child Plan (Series A),Child Plan,0,13,200000,25000000,5,20,Premium Waiver Benefit ensures child's future even in absence of parent,Guaranteed maturity additions,Choice of equity or debt fund allocation,Low,25.0
LIC-TL-187,Cancer Shield (Series F) Term,Term Life,20,55,300000,15000000,5,20,Lump sum payout on diagnosis of specified critical illnesses,Waiver of future premiums on minor illness diagnosis,Special wellness points for premium discounts,Low,5.0
LIC-TL-188,Return of Premium Term (ROP),Term Life,23,70,750000,40000000,3,35,High sum assured at extremely low cost,Waiver of Premium on disability,Terminal Illness benefit built-in,Low,1.66
LIC-WL-189,Legacy Whole Life Safeguard - Series B,Whole Life,23,65,375000,24000000,7,25,Guaranteed lifetime coverage up to age 100,Participating bonus options,Accidental death benefit rider,Low,13.6
LIC-E-190,Flexi Endow Protect,Endowment,17,60,150000,16000000,7,20,Guaranteed maturity lump sum + accumulated bonuses,Loan facility against policy value,Terminal bonus upon completion,Medium,38.0
LIC-MB-191,Cash Flow Life Plan (Series B),Money Back,20,55,225000,12000000,12,20,Regular survival payouts at predefined policy intervals,Accidental benefit rider,Loan availability on accumulated value,Medium,48.0
LIC-U-192,Balanced Fund Protector ULIP,ULIP,13,60,750000,40000000,7,15,Dual benefit of life protection and equity/debt market growth,Loyalty additions added programmatically,Accidental death benefit rider option,High,18.0
LIC-R&P-193,Retire Rich Annuity Plan (Series B),Retirement & Pension,35,75,750000,32000000,3,25,Guaranteed annuity payouts for lifetime after retirement,Return of purchase price to nominees upon demise,Deferred annuity interest rate lock-in,Low,26.45
LIC-CP-194,Child Education Shield Plan (Series B),Child Plan,5,23,300000,20000000,7,15,Premium Waiver Benefit ensures child's future even in absence of parent,Accidental death cover on parent,Loan options for premium payments,Low,28.0
LIC-TL-195,Heart Care Life Cover (Series G),Term Life,23,65,450000,12000000,7,15,Lump sum payout on diagnosis of specified critical illnesses,Daily hospital cash benefit,Surgical cash benefit options,Low,6.0
LIC-TL-196,Group Term Protection,Term Life,18,65,500000,50000000,1,40,High sum assured at extremely low cost,Accidental Death Rider option,Option to increase coverage on life milestones,Low,1.78
LIC-WL-197,Heritage Wealth & Life - Series C,Whole Life,18,60,250000,30000000,5,30,Guaranteed lifetime coverage up to age 100,Cash value accumulation with guaranteed additions,Survival payout options after age 80,Low,15.2
LIC-E-198,Wealth Builder Endowment - Series A,Endowment,12,55,100000,20000000,5,25,Guaranteed maturity lump sum + accumulated bonuses,Life cover during the policy term,Critical illness rider add-on,Medium,41.0
LIC-MB-199,Periodic Payout Guard - Series C,Money Back,15,50,150000,15000000,10,25,Regular survival payouts at predefined policy intervals,Maturity payout of remaining sum assured with bonus,Guaranteed additions in first 5 years,Medium,51.0
LIC-U-200,Secure Growth Market Link,ULIP,8,55,500000,50000000,5,20,Dual benefit of life protection and equity/debt market growth,Choice of 7+ investment funds ranging from debt to high equity,Partial withdrawal facility after 5 years lock-in,Medium,21.0
LIC-R&P-201,Silver Years Life Income - Series C,Retirement & Pension,30,70,500000,40000000,1,30,Guaranteed annuity payouts for lifetime after retirement,Option for joint life annuity (spouse gets pension),Critical illness cover during accumulation phase,Low,29.9
LIC-CP-202,Young Scholar Milestone Plan (Series C),Child Plan,0,18,200000,25000000,5,20,Premium Waiver Benefit ensures child's future even in absence of parent,Milestone cash payouts for higher education expenses,Flexible payout options (lump sum or instalments),Low,31.0
LIC-HLTH-203,Critical Health & Term Plus - Series H,Term Life,18,60,300000,15000000,5,20,Lump sum payout on diagnosis of specified critical illnesses,Inbuilt term life protection cover,Second medical opinion from global specialists,Low,7.0
LIC-TL-204,Senior Citizen Term Plan,Term Life,20,60,750000,40000000,3,35,High sum assured at extremely low cost,Critical Illness Rider option,Special discount for non-smokers,Low,2.12
LIC-WL-205,Centennial Life Cover (Series D),Whole Life,20,55,375000,24000000,7,25,Guaranteed lifetime coverage up to age 100,Loan facility up to 90% of surrender value,Tax benefits under local laws,Low,16.8
LIC-E-206,Future Growth Endowment Plan (Series B),Endowment,18,50,150000,16000000,7,20,Guaranteed maturity lump sum + accumulated bonuses,Compounded reversionary bonuses,Tax-exempt payouts at maturity,Medium,44.0
LIC-MB-207,Smart Cash Return Shield (Series D),Money Back,18,45,225000,12000000,12,20,Regular survival payouts at predefined policy intervals,Continuous life cover for full sum assured despite survival payouts,Flexible premium options,Medium,54.0
LIC-U-208,Wealth Maxima ULIP - Series A,ULIP,18,50,750000,40000000,7,15,Dual benefit of life protection and equity/debt market growth,Unlimited free fund switches per year,Return of mortality charges upon maturity,Medium,24.0
LIC-R&P-209,Neev Retirement Shield (Series D),Retirement & Pension,32,65,750000,32000000,3,25,Guaranteed annuity payouts for lifetime after retirement,Lump sum commutation up to 60% of corpus tax-free,Top-up premium option to increase annuity,Low,29.0
LIC-CP-210,Junior Dream Protection - Series D,Child Plan,0,13,300000,20000000,7,15,Premium Waiver Benefit ensures child's future even in absence of parent,Guaranteed maturity additions,Choice of equity or debt fund allocation,Low,34.0
LIC-TL-211,Complete Wellness Term Life - Series I,Term Life,20,55,450000,12000000,7,15,Lump sum payout on diagnosis of specified critical illnesses,Waiver of future premiums on minor illness diagnosis,Special wellness points for premium discounts,Low,8.0
LIC-TL-212,Millennial Flexi-Term,Term Life,23,70,500000,50000000,1,40,High sum assured at extremely low cost,Waiver of Premium on disability,Terminal Illness benefit built-in,Low,2.83
LIC-WL-213,Enduring Security Whole Life - Series E,Whole Life,23,65,250000,30000000,5,30,Guaranteed lifetime coverage up to age 100,Participating bonus options,Accidental death benefit rider,Low,18.4
LIC-E-214,Smart Savings Endowment Plan (Series C),Endowment,17,60,100000,20000000,5,25,Guaranteed maturity lump sum + accumulated bonuses,Loan facility against policy value,Terminal bonus upon completion,Low,47.0
LIC-MB-215,Dhan Varsha MoneyBack - Series E,Money Back,20,55,150000,15000000,10,25,Regular survival payouts at predefined policy intervals,Accidental benefit rider,Loan availability on accumulated value,Low,57.0
LIC-U-216,Equity Growth ULIP Pro - Series B,ULIP,13,60,500000,50000000,5,20,Dual benefit of life protection and equity/debt market growth,Loyalty additions added programmatically,Accidental death benefit rider option,Low,27.0
LIC-R&P-217,Saral Pension Annuity - Series E,Retirement & Pension,35,75,500000,40000000,1,30,Guaranteed annuity payouts for lifetime after retirement,Return of purchase price to nominees upon demise,Deferred annuity interest rate lock-in,Low,36.8
LIC-CP-218,Child Career Builder - Series E,Child Plan,5,23,200000,25000000,5,20,Premium Waiver Benefit ensures child's future even in absence of parent,Accidental death cover on parent,Loan options for premium payments,Low,37.0
LIC-HLTH-219,Senior Health Safeguard - Series J,Term Life,23,65,300000,15000000,5,20,Lump sum payout on diagnosis of specified critical illnesses,Daily hospital cash benefit,Surgical cash benefit options,Low,9.0
